Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
06/12/2021,50986.02,47260.2,49465.5,49875.62,"2,437,856,119.90",50552.83,BTC/USD
07/12/2021,51953.27,50083.33,50552.83,29306.55,"1,496,164,576.66",50633.01,BTC/USD
08/12/2021,51215.6,48711.85,50633.01,25732.2,"1,290,175,070.30",50513.04,BTC/USD
09/12/2021,50829.41,47347.73,50513.04,34472.44,"1,681,556,175.72",47593.85,BTC/USD
10/12/2021,50047.85,46989.42,47593.85,39527.74,"1,905,617,871.17",47191.14,BTC/USD
11/12/2021,49504.07,46829.85,47191.14,24394.48,"1,181,186,604.23",49398.4,BTC/USD
12/12/2021,50807.75,48689.25,49398.4,21546.75,"1,072,562,349.40",50109.99,BTC/USD
13/12/2021,50215.42,45800.52,50109.99,49444.13,"2,353,893,179.40",46731.03,BTC/USD
14/12/2021,48665.63,46320.4,46731.03,34838.49,"1,646,492,085.28",48387.69,BTC/USD
15/12/2021,49499.91,46562.1,48387.69,44270.94,"2,132,679,583.02",48885.05,BTC/USD
16/12/2021,49451.4,47546.15,48885.05,26205.68,"1,271,265,804.99",47635.92,BTC/USD
17/12/2021,48004.37,45505.02,47635.92,37546.89,"1,756,062,773.63",46164.14,BTC/USD
18/12/2021,47356.67,45522.92,46164.14,18781.81,"874,187,163.05",46861.62,BTC/USD
19/12/2021,48286.29,46459.66,46861.62,21907.14,"1,035,963,939.83",46697.13,BTC/USD
20/12/2021,47495.72,45586.49,46697.13,32678.5,"1,517,599,333.73",46913.54,BTC/USD
21/12/2021,49334.04,46661.88,46913.54,31921.06,"1,546,447,524.57",48917.48,BTC/USD
22/12/2021,49581.41,48460.43,48917.48,20998.03,"1,028,434,929.44",48614.97,BTC/USD
23/12/2021,51382.88,48062.25,48614.97,30734.43,"1,525,047,125.27",50830.2,BTC/USD
24/12/2021,51863.56,50449.36,50830.2,21669.58,"1,107,244,995.18",50840.36,BTC/USD
25/12/2021,51158.56,50199.56,50840.36,11532.27,"585,818,997.15",50431.63,BTC/USD
26/12/2021,51283.7,49485.62,50431.63,14663.26,"736,617,761.86",50790.88,BTC/USD
27/12/2021,52079.46,50481.26,50790.88,21873.37,"1,120,188,136.96",50714.73,BTC/USD
28/12/2021,50718.53,47317.78,50714.73,40699.4,"1,985,905,082.17",47536.39,BTC/USD
29/12/2021,48145.34,46107.79,47536.39,33749.8,"1,599,557,104.64",46471.7,BTC/USD
30/12/2021,47917.89,45964.28,46471.7,39311.18,"1,852,206,857.29",47129.66,BTC/USD
31/12/2021,48573.22,45665.44,47129.66,34737.79,"1,636,014,399.31",46197.31,BTC/USD
01/01/2022,47950.29,46196.03,46197.31,16697.92,"786,729,972.03",47737.35,BTC/USD
02/01/2022,47979.26,46666.18,47737.35,13025.66,"615,453,426.93",47306.41,BTC/USD
03/01/2022,47572.23,45707.55,47306.41,21681.38,"1,011,309,525.84",46450.79,BTC/USD
04/01/2022,47529.48,45587.91,46450.79,29035.93,"1,349,229,422.84",45824.54,BTC/USD
05/01/2022,47067.18,42510.86,45824.54,47769.2,"2,152,187,256.39",43432.51,BTC/USD
06/01/2022,43779.23,42468.76,43432.51,36804.78,"1,585,314,774.47",43094.54,BTC/USD
07/01/2022,43138.79,40750.42,43094.54,51310.46,"2,146,452,950.19",41543.79,BTC/USD
08/01/2022,42306.77,40534.37,41543.79,27559.19,"1,143,171,232.86",41686.67,BTC/USD
09/01/2022,42800.66,41237.13,41686.67,21486.68,"901,652,458.82",41869.6,BTC/USD
10/01/2022,42251.07,39667.6,41869.6,51976.97,"2,140,270,933.32",41832.59,BTC/USD
